drill,hole,mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,16,6.7161202,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,17,8.097812,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,18,5.726218,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,19,6.334105,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,20,6.462698,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,21,6.912226,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,22,8.192311,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,23,3.8053684,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,24,8.091531,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,25,6.663391,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,26,4.2070475,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,27,6.53981,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,28,5.2828197,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,29,9.557085,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,30,7.2327538,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,31,4.0899262,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,32,4.187646,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,33,8.550417,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,34,4.44974,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,35,4.5574865,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,36,3.1970673,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,37,3.3457925,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,38,4.588288,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,39,9.77873,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,40,15.019703,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,41,7.6964364,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,42,16.784111,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,43,13.709471,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,44,9.887221,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,45,9.475757,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,46,8.648821,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,47,13.390035,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,48,11.1032505,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,49,13.64823,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,50,23.345396,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,51,10.392243,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,52,22.59758,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,53,6.7782187,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,54,8.193815,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,55,17.976105,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,56,22.065062,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,57,15.806834,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,58,19.728918,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,59,16.009823,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,60,13.23719,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,61,13.667503,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,62,29.293114,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,63,14.383016,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,64,19.368351,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,65,10.376271,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,66,17.307184,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,67,26.928366,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,68,25.346008,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,69,41.757942,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,70,48.845623,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,71,45.117256,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,72,48.39106,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,73,39.73451,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,74,37.59624,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,75,34.54153,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,76,42.05115,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,77,27.17911,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,78,39.94065,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,79,35.45368,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,80,51.677727,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,81,39.052204,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,82,33.452015,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,83,45.912292,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,84,49.414597,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,85,53.069572,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,86,74.34821,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,87,46.935966,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,88,48.524586,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,89,65.72856,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,90,38.171955,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,91,27.138906,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,92,22.315952,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,93,48.093372,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,94,23.52475,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,95,53.915485,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,96,54.72433,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,97,31.421566,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,98,59.222748,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,99,53.783413,0.006043321,1.0,1,91
