drill,hole,prob_xgb,label_real,threshold_xgb,prediction,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,11,0.0051381653,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,12,0.0033755216,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,13,0.015896609,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,14,0.0032918686,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,15,0.015967542,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,16,0.022893876,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,17,0.046074543,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,18,0.03071824,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,19,0.07671668,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,20,0.08241836,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,21,0.025125753,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,22,0.014226003,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,23,0.002844965,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,24,0.015427717,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,25,0.009444062,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,26,0.0037237087,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,27,0.0070850174,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,28,0.004585786,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,29,0.013080434,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,30,0.013124123,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,31,0.039387412,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,32,0.007951663,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,33,0.019807009,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,34,0.0075486735,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,35,0.020654345,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,36,0.005726884,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,37,0.0062433095,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,38,0.0051443703,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,39,0.04836366,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,40,0.20175849,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,41,0.013565505,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,42,0.7396318,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,43,0.073181696,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,44,0.12441279,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,45,0.20209333,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,46,0.1732611,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,47,0.2832397,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,48,0.21827334,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,49,0.17672938,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,50,0.061978564,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,51,0.28772035,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,52,0.06505013,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,53,0.010486073,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,54,0.012315997,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,55,0.022597298,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,56,0.16401654,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,57,0.006390725,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,58,0.015744401,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,59,0.0070877015,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,60,0.057951946,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,61,0.21850978,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,62,0.7194038,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,63,0.2956187,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,64,0.31915402,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,65,0.040054232,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,66,0.08421601,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,67,0.38413858,0,0.1,0,61
drill_4mm_05_batch_00_collet_1_30-01-2025,68,0.8243472,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,69,0.8983488,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,70,0.6016944,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,71,0.69527835,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,72,0.66545224,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,73,0.7630487,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,74,0.40236822,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,75,0.6437434,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,76,0.77227753,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,77,0.654922,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,78,0.87710357,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,79,0.88685834,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,80,0.81019473,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,81,0.8226374,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,82,0.5237335,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,83,0.72861725,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,84,0.88023347,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,85,0.8426651,0,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,86,0.7878703,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,87,0.8956369,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,88,0.58177817,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,89,0.7310838,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,90,0.65419775,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,91,0.9146212,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,92,0.39912954,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,93,0.7953576,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,94,0.9202095,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,95,0.7683193,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,96,0.93232346,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,97,0.6469668,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,98,0.87747866,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,99,0.62262243,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,100,0.7545672,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,101,0.805143,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,102,0.7723393,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,103,0.8703425,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,104,0.82778764,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,105,0.91215944,1,0.1,1,61
drill_4mm_05_batch_00_collet_1_30-01-2025,106,0.73971474,1,0.1,1,61
drill_4mm_06_batch_00_collet_1_30-01-2025,1,0.017515523,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,2,0.022051377,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,3,0.016318483,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,4,0.01476335,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,5,0.0073955925,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,6,0.004930826,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,7,0.009918178,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,8,0.0075924383,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,9,0.0063338033,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,10,0.010486052,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,11,0.050605066,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,12,0.24300025,0,0.1,0,12
drill_4mm_06_batch_00_collet_1_30-01-2025,13,0.46308,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,14,0.12300575,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,15,0.24040192,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,16,0.27598077,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,17,0.6579086,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,18,0.720965,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,19,0.20637746,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,20,0.5861598,0,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,21,0.82622683,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,22,0.72329277,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,23,0.6591376,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,24,0.84425956,1,0.1,1,12
drill_4mm_06_batch_00_collet_1_30-01-2025,25,0.8596499,1,0.1,1,12
drill_4mm_07_batch_00_collet_1_31-01-2025,1,0.05927291,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,2,0.012788478,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,3,0.017119015,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,4,0.8927959,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,5,0.0901125,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,6,0.13640906,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,7,0.053390052,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,8,0.06929126,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,9,0.014243902,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,10,0.003419542,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,11,0.17998122,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,12,0.36082378,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,13,0.2631041,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,14,0.5189879,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,15,0.124446295,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,16,0.3469855,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,17,0.25909087,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,18,0.75150216,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,19,0.4414538,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,20,0.5002847,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,21,0.56034726,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,22,0.42666766,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,23,0.555502,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,24,0.45014998,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,25,0.3796199,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,26,0.16007781,0,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,27,0.13855481,1,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,28,0.024413174,1,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,29,0.054481827,1,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,30,0.030235274,1,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,31,0.5613544,1,0.8125276565551758,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,32,0.20783296,1,0.8125276565551758,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,1,0.012989465,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,2,0.003916648,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,3,0.0043217386,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,4,0.0021282386,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,5,0.0058342717,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,6,0.005169928,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,7,0.27069208,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,8,0.039771207,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,9,0.017173087,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,10,0.054083608,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,11,0.06196534,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,12,0.08029836,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,13,0.01744523,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,14,0.011832775,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,15,0.0124233,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,16,0.09113059,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,17,0.30998108,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,18,0.009947928,1,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,19,0.76709604,1,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,20,0.015620991,1,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,21,0.006896646,1,0.1,0,0
drill_4mm_09_batch_00_collet_1_31-01-2025,1,0.044102993,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,2,0.02542178,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,3,0.012580288,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,4,0.0084070405,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,5,0.10451568,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,6,0.037113834,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,7,0.14744246,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,8,0.059035964,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,9,0.12871584,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,10,0.3029238,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,11,0.29019052,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,12,0.2684504,0,0.1,1,41
