fpr,tpr
0.0,0.0
0.0,0.006756756756756757
0.0,0.04054054054054054
0.0015772870662460567,0.04054054054054054
0.0015772870662460567,0.10810810810810811
0.007886435331230283,0.10810810810810811
0.007886435331230283,0.11486486486486487
0.00946372239747634,0.11486486486486487
0.00946372239747634,0.14189189189189189
0.017350157728706624,0.14189189189189189
0.017350157728706624,0.14864864864864866
0.025236593059936908,0.14864864864864866
0.025236593059936908,0.1554054054054054
0.026813880126182965,0.1554054054054054
0.026813880126182965,0.16216216216216217
0.033123028391167195,0.16216216216216217
0.033123028391167195,0.17567567567567569
0.03785488958990536,0.17567567567567569
0.03785488958990536,0.18243243243243243
0.04258675078864353,0.18243243243243243
0.04258675078864353,0.1891891891891892
0.04574132492113565,0.1891891891891892
0.04574132492113565,0.19594594594594594
0.055205047318611984,0.19594594594594594
0.055205047318611984,0.20270270270270271
0.056782334384858045,0.20270270270270271
0.056782334384858045,0.20945945945945946
0.06309148264984227,0.20945945945945946
0.06309148264984227,0.22297297297297297
0.06782334384858044,0.22297297297297297
0.06782334384858044,0.23648648648648649
0.07097791798107256,0.23648648648648649
0.07097791798107256,0.25
0.083596214511041,0.25
0.083596214511041,0.25675675675675674
0.08832807570977919,0.25675675675675674
0.08832807570977919,0.27702702702702703
0.09305993690851735,0.27702702702702703
0.09305993690851735,0.28378378378378377
0.09936908517350158,0.28378378378378377
0.09936908517350158,0.2972972972972973
0.10883280757097792,0.2972972972972973
0.10883280757097792,0.30405405405405406
0.11198738170347003,0.30405405405405406
0.11198738170347003,0.31756756756756754
0.11514195583596215,0.31756756756756754
0.11514195583596215,0.3310810810810811
0.1167192429022082,0.3310810810810811
0.1167192429022082,0.33783783783783783
0.11987381703470032,0.33783783783783783
0.11987381703470032,0.35135135135135137
0.13249211356466878,0.35135135135135137
0.13249211356466878,0.3581081081081081
0.13564668769716087,0.3581081081081081
0.13564668769716087,0.3716216216216216
0.15457413249211358,0.3716216216216216
0.15457413249211358,0.38513513513513514
0.15930599369085174,0.38513513513513514
0.15930599369085174,0.3918918918918919
0.16561514195583596,0.3918918918918919
0.16561514195583596,0.40540540540540543
0.16876971608832808,0.40540540540540543
0.16876971608832808,0.4189189189189189
0.1750788643533123,0.4189189189189189
0.1750788643533123,0.43243243243243246
0.17665615141955837,0.43243243243243246
0.17665615141955837,0.4391891891891892
0.17981072555205047,0.4391891891891892
0.17981072555205047,0.44594594594594594
0.18454258675078863,0.44594594594594594
0.18454258675078863,0.4594594594594595
0.19873817034700317,0.4594594594594595
0.19873817034700317,0.47297297297297297
0.20347003154574134,0.47297297297297297
0.20347003154574134,0.4797297297297297
0.20662460567823343,0.4797297297297297
0.20662460567823343,0.4864864864864865
0.21451104100946372,0.4864864864864865
0.21451104100946372,0.5
0.21608832807570977,0.5
0.21608832807570977,0.5135135135135135
0.2192429022082019,0.5135135135135135
0.2192429022082019,0.527027027027027
0.22397476340694006,0.527027027027027
0.22397476340694006,0.5337837837837838
0.22712933753943218,0.5337837837837838
0.22712933753943218,0.5472972972972973
0.23186119873817035,0.5472972972972973
0.23186119873817035,0.5675675675675675
0.23659305993690852,0.5675675675675675
0.23659305993690852,0.581081081081081
0.23974763406940064,0.581081081081081
0.23974763406940064,0.5878378378378378
0.2444794952681388,0.5878378378378378
0.2444794952681388,0.5945945945945946
0.2476340694006309,0.5945945945945946
0.2476340694006309,0.6013513513513513
0.2555205047318612,0.6013513513513513
0.2555205047318612,0.6148648648648649
0.2744479495268139,0.6148648648648649
0.2744479495268139,0.6216216216216216
0.28391167192429023,0.6216216216216216
0.28391167192429023,0.6283783783783784
0.2854889589905363,0.6283783783783784
0.2854889589905363,0.6351351351351351
0.305993690851735,0.6351351351351351
0.305993690851735,0.6418918918918919
0.3107255520504732,0.6418918918918919
0.3107255520504732,0.6486486486486487
0.32018927444794953,0.6486486486486487
0.32018927444794953,0.6756756756756757
0.3217665615141956,0.6756756756756757
0.3217665615141956,0.6891891891891891
0.3264984227129338,0.6891891891891891
0.3264984227129338,0.7027027027027027
0.3280757097791798,0.7027027027027027
0.3280757097791798,0.7094594594594594
0.33280757097791797,0.7094594594594594
0.33280757097791797,0.7162162162162162
0.34069400630914826,0.7162162162162162
0.34069400630914826,0.722972972972973
0.34542586750788645,0.722972972972973
0.34542586750788645,0.7297297297297297
0.35173501577287064,0.7297297297297297
0.35173501577287064,0.7432432432432432
0.35646687697160884,0.7432432432432432
0.35646687697160884,0.75
0.361198738170347,0.75
0.361198738170347,0.7567567567567568
0.3864353312302839,0.7567567567567568
0.3864353312302839,0.7702702702702703
0.39747634069400634,0.7702702702702703
0.39747634069400634,0.777027027027027
0.4116719242902208,0.777027027027027
0.4116719242902208,0.7905405405405406
0.43217665615141954,0.7905405405405406
0.43217665615141954,0.7972972972972973
0.444794952681388,0.7972972972972973
0.444794952681388,0.8040540540540541
0.45741324921135645,0.8040540540540541
0.45741324921135645,0.8108108108108109
0.4637223974763407,0.8108108108108109
0.4637223974763407,0.8175675675675675
0.4668769716088328,0.8175675675675675
0.4668769716088328,0.8243243243243243
0.4747634069400631,0.8243243243243243
0.4747634069400631,0.831081081081081
0.4794952681388013,0.831081081081081
0.4794952681388013,0.8378378378378378
0.5,0.8378378378378378
0.5,0.8445945945945946
0.556782334384858,0.8445945945945946
0.556782334384858,0.8581081081081081
0.5615141955835962,0.8581081081081081
0.5615141955835962,0.8648648648648649
0.5662460567823344,0.8648648648648649
0.5662460567823344,0.8716216216216216
0.6025236593059937,0.8716216216216216
0.6025236593059937,0.8783783783783784
0.6056782334384858,0.8783783783783784
0.6056782334384858,0.8851351351351351
0.6293375394321766,0.8851351351351351
0.6293375394321766,0.8986486486486487
0.6309148264984227,0.8986486486486487
0.6309148264984227,0.9054054054054054
0.6451104100946372,0.9054054054054054
0.6451104100946372,0.9121621621621622
0.6608832807570978,0.9121621621621622
0.6608832807570978,0.918918918918919
0.6640378548895899,0.918918918918919
0.6640378548895899,0.9256756756756757
0.6892744479495269,0.9256756756756757
0.6892744479495269,0.9324324324324325
0.6971608832807571,0.9324324324324325
0.6971608832807571,0.9391891891891891
0.7082018927444795,0.9391891891891891
0.7082018927444795,0.9459459459459459
0.722397476340694,0.9459459459459459
0.722397476340694,0.9527027027027027
0.7334384858044164,0.9527027027027027
0.7334384858044164,0.9594594594594594
0.7429022082018928,0.9594594594594594
0.7429022082018928,0.9797297297297297
0.7444794952681388,0.9797297297297297
0.7444794952681388,0.9932432432432432
0.7602523659305994,0.9932432432432432
0.7602523659305994,1.0
1.0,1.0
