drill,hole,score,prediction,label
drill_4mm_01,1,0.007937291637063026,0,0
drill_4mm_01,2,0.010885017924010754,0,0
drill_4mm_01,3,0.015220021829009056,0,0
drill_4mm_01,4,0.008939196355640888,0,0
drill_4mm_01,5,0.007232787553220987,0,0
drill_4mm_01,6,0.005781169980764389,0,0
drill_4mm_01,7,0.007014548406004906,0,0
drill_4mm_01,8,0.006178415846079588,0,0
drill_4mm_01,9,0.006466139107942581,0,0
drill_4mm_01,10,0.004355201497673988,0,0
drill_4mm_01,11,0.006235181819647551,0,0
drill_4mm_01,12,0.002538667293265462,0,0
drill_4mm_01,13,0.0053900377824902534,0,0
drill_4mm_01,14,0.003860738594084978,0,0
drill_4mm_01,15,0.0024002164136618376,0,0
drill_4mm_01,16,0.0031673621851950884,0,0
drill_4mm_01,17,0.0030168620869517326,0,0
drill_4mm_01,18,0.003846285631880164,0,0
drill_4mm_01,19,0.002614703495055437,0,0
drill_4mm_01,20,0.0065162330865859985,0,0
drill_4mm_01,21,0.0057728225365281105,0,0
drill_4mm_01,22,0.003281054785475135,0,0
drill_4mm_01,23,0.006660275626927614,0,0
drill_4mm_01,24,0.005916692316532135,0,0
drill_4mm_01,25,0.002608389127999544,0,0
drill_4mm_01,26,0.003128601238131523,0,0
drill_4mm_01,27,0.0034034729469567537,0,0
drill_4mm_01,28,0.003935680259019136,0,0
drill_4mm_01,29,0.0032409720588475466,0,0
drill_4mm_01,30,0.5477003455162048,0,0
drill_4mm_01,31,0.015588527545332909,0,0
drill_4mm_01,32,0.00729284668341279,0,0
drill_4mm_01,33,0.0019436994334682822,0,0
drill_4mm_01,34,0.004884687252342701,0,0
drill_4mm_01,35,0.004633499309420586,0,0
drill_4mm_01,36,0.005199648439884186,0,0
drill_4mm_01,37,0.0034675318747758865,0,0
drill_4mm_01,38,0.0048308908008039,0,0
drill_4mm_01,39,0.5893850922584534,0,0
drill_4mm_01,40,0.0047360253520309925,0,0
drill_4mm_01,41,0.005653962027281523,0,0
drill_4mm_01,42,0.0022782660089433193,0,1
drill_4mm_01,43,0.0018831402994692326,0,1
drill_4mm_01,44,0.0025289934128522873,0,1
drill_4mm_01,45,0.0017388858832418919,0,1
drill_4mm_01,46,0.0019273582147434354,0,1
drill_4mm_01,47,0.0015369121683761477,0,1
drill_4mm_01,48,0.004473275970667601,0,1
drill_4mm_01,49,0.8080907464027405,0,1
drill_4mm_01,50,0.0826045349240303,0,1
drill_4mm_01,51,0.001263028010725975,0,1
drill_4mm_02,1,0.034981247037649155,0,0
drill_4mm_02,2,0.004405078943818808,0,0
drill_4mm_02,3,0.0017910199239850044,0,0
drill_4mm_02,4,0.0022964419331401587,0,0
drill_4mm_02,5,0.0037359062116593122,0,0
drill_4mm_02,6,0.005189585033804178,0,0
drill_4mm_02,7,0.007405340671539307,0,0
drill_4mm_02,8,0.04476899281144142,0,0
drill_4mm_02,9,0.018819745630025864,0,0
drill_4mm_02,10,0.05032936483621597,0,0
drill_4mm_02,11,0.02299664169549942,0,0
drill_4mm_02,12,0.010227901861071587,0,0
drill_4mm_02,13,0.024923717603087425,0,0
drill_4mm_02,14,0.013304650783538818,0,0
drill_4mm_02,15,0.04233304783701897,0,0
drill_4mm_02,16,0.01351578626781702,0,0
drill_4mm_02,17,0.08259320259094238,0,0
drill_4mm_02,18,0.017241355031728745,0,0
drill_4mm_02,19,0.02077244408428669,0,0
drill_4mm_02,20,0.017609411850571632,0,0
drill_4mm_02,21,0.040685806423425674,0,0
drill_4mm_02,22,0.10629109293222427,0,0
drill_4mm_02,23,0.015929076820611954,0,0
drill_4mm_02,24,0.3284000754356384,0,0
drill_4mm_02,25,0.08431854099035263,0,0
drill_4mm_02,26,0.027030467987060547,0,0
drill_4mm_02,27,0.10100604593753815,0,0
drill_4mm_02,28,0.04053334891796112,0,0
drill_4mm_02,29,0.16683755815029144,0,0
drill_4mm_02,30,0.07551150768995285,0,0
drill_4mm_02,31,0.012991195544600487,0,0
drill_4mm_02,32,0.1078648492693901,0,0
drill_4mm_02,33,0.16243025660514832,1,0
drill_4mm_02,34,0.05600197985768318,0,0
drill_4mm_02,35,0.09882525354623795,0,0
drill_4mm_02,36,0.08351434022188187,0,0
drill_4mm_02,37,0.005500351544469595,0,0
drill_4mm_02,38,0.052285339683294296,0,0
drill_4mm_02,39,0.057970937341451645,0,0
drill_4mm_02,40,0.14213258028030396,0,0
drill_4mm_02,41,0.05629614368081093,0,0
drill_4mm_02,42,0.39075469970703125,0,0
drill_4mm_02,43,0.3764355778694153,1,0
drill_4mm_02,44,0.12588179111480713,1,0
drill_4mm_02,45,0.3750523030757904,1,0
drill_4mm_02,46,0.08291588723659515,0,0
drill_4mm_02,47,0.11522094160318375,0,0
drill_4mm_02,48,0.1528305560350418,1,0
drill_4mm_02,49,0.17787118256092072,1,0
drill_4mm_02,50,0.2659880518913269,1,0
drill_4mm_02,51,0.09951062500476837,0,0
drill_4mm_02,52,0.22733724117279053,0,0
drill_4mm_02,53,0.2662942707538605,1,0
drill_4mm_02,54,0.3224503993988037,1,0
drill_4mm_02,55,0.35312217473983765,1,0
drill_4mm_02,56,0.9165419340133667,1,0
drill_4mm_02,57,0.11911580711603165,1,0
drill_4mm_02,58,0.37071558833122253,1,0
