drill,hole,score,label,threshold,prediction,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,12,0.0045074066,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,13,0.013348917,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,14,0.0026328757,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,15,0.038983162,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,16,0.01343159,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,17,0.15434624,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,18,0.027138464,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,19,0.049181614,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,20,0.040204275,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,21,0.101283126,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,22,0.027148884,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,23,0.0033337208,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,24,0.06136334,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,25,0.025841491,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,26,0.0047303285,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,27,0.021364888,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,28,0.0063754036,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,29,0.02964873,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,30,0.033133775,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,31,0.031478055,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,32,0.016704258,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,33,0.05326073,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,34,0.019941874,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,35,0.045294397,0,0.1,0,63
