drill,hole,hybrid_mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,2,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,3,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,4,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,5,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,6,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,7,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,8,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,9,0.0,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,10,0.9015449285507202,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,11,0.921582043170929,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,12,1.2406071424484253,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,13,2.7444276809692383,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,14,6.572375297546387,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,15,7.9959564208984375,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,16,9.863924026489258,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,17,13.965768814086914,0.9015449285507202,0.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,18,22.459829330444336,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,19,24.847339630126953,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,20,36.50554656982422,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,21,61.01803207397461,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,22,10.533254623413086,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,23,92.70377349853516,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,24,14.044668197631836,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,25,64.14533233642578,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,26,17.64120101928711,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,27,27.62017059326172,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,28,25.94959259033203,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,29,16.591289520263672,0.9015449285507202,1.0,0,88
drill_4mm_05_batch_00_collet_1_30-01-2025,30,18.89643096923828,0.9015449285507202,1.0,0,88
