drill,hole,hybrid_mse,prediction,label
drill_4mm_01,1,0.00019361211161594838,0,0
drill_4mm_01,2,5.806734043289907e-05,0,0
drill_4mm_01,3,0.010578783228993416,0,0
drill_4mm_01,4,0.01154824998229742,0,0
drill_4mm_01,5,0.00021411052148323506,0,0
drill_4mm_01,6,1.3740798234939575,0,0
drill_4mm_01,7,2.286304235458374,0,0
drill_4mm_01,8,4.77347469329834,0,0
drill_4mm_01,9,3.5505833625793457,0,0
drill_4mm_01,10,4.107999324798584,0,0
drill_4mm_01,11,5.172357559204102,0,0
drill_4mm_01,12,6.536004066467285,0,0
drill_4mm_01,13,9.445425033569336,0,0
drill_4mm_01,14,7.751563549041748,0,0
drill_4mm_01,15,8.153027534484863,1,0
drill_4mm_01,16,14.047578811645508,1,0
drill_4mm_01,17,16.59514808654785,1,0
drill_4mm_01,18,18.94631576538086,1,0
drill_4mm_01,19,20.210363388061523,1,0
drill_4mm_01,20,15.191566467285156,1,0
drill_4mm_01,21,17.56391716003418,1,0
drill_4mm_01,22,14.254657745361328,1,0
drill_4mm_01,23,13.05689525604248,1,0
drill_4mm_01,24,11.944000244140625,1,0
drill_4mm_01,25,12.890800476074219,1,0
drill_4mm_01,26,11.060450553894043,1,0
drill_4mm_01,27,13.769856452941895,1,0
drill_4mm_01,28,15.118974685668945,1,0
drill_4mm_01,29,14.275251388549805,1,0
drill_4mm_01,30,12.454521179199219,1,0
drill_4mm_01,31,2.8651537895202637,1,0
drill_4mm_01,32,1.6724895238876343,1,0
drill_4mm_01,33,2.627610206604004,1,0
drill_4mm_01,34,1.176497459411621,1,0
drill_4mm_01,35,2.419588088989258,1,0
drill_4mm_01,36,2.2112317085266113,1,0
drill_4mm_01,37,5.9170708656311035,1,0
drill_4mm_01,38,6.3212432861328125,1,0
drill_4mm_01,39,16.974925994873047,1,0
drill_4mm_01,40,5.80294942855835,1,0
drill_4mm_01,41,7.283664703369141,1,0
drill_4mm_01,42,9.316383361816406,1,1
drill_4mm_01,43,8.952244758605957,1,1
drill_4mm_01,44,12.004953384399414,1,1
drill_4mm_01,45,13.2168550491333,1,1
drill_4mm_01,46,14.290011405944824,1,1
drill_4mm_01,47,21.75634765625,1,1
drill_4mm_01,48,24.43035888671875,1,1
drill_4mm_01,49,34.359336853027344,1,1
drill_4mm_01,50,24.250995635986328,1,1
drill_4mm_01,51,20.44960594177246,1,1
drill_4mm_02,1,0.00037312792846933007,0,0
drill_4mm_02,2,0.0009173618745990098,0,0
drill_4mm_02,3,0.005295793060213327,0,0
drill_4mm_02,4,0.006058576516807079,0,0
drill_4mm_02,5,8.809113933239132e-05,0,0
drill_4mm_02,6,0.8593753576278687,0,0
drill_4mm_02,7,0.8518778681755066,0,0
drill_4mm_02,8,1.5239437818527222,0,0
drill_4mm_02,9,2.6783993244171143,0,0
drill_4mm_02,10,4.526793003082275,0,0
drill_4mm_02,11,3.081476926803589,0,0
drill_4mm_02,12,4.701282978057861,0,0
drill_4mm_02,13,4.43201208114624,0,0
drill_4mm_02,14,5.077402114868164,0,0
drill_4mm_02,15,4.677518367767334,1,0
drill_4mm_02,16,6.71612024307251,1,0
drill_4mm_02,17,8.097811698913574,1,0
drill_4mm_02,18,5.726218223571777,1,0
drill_4mm_02,19,6.334105014801025,1,0
drill_4mm_02,20,6.462697982788086,1,0
drill_4mm_02,21,6.91222620010376,1,0
drill_4mm_02,22,8.19231128692627,1,0
drill_4mm_02,23,3.805368423461914,1,0
drill_4mm_02,24,8.091530799865723,1,0
drill_4mm_02,25,6.66339111328125,1,0
drill_4mm_02,26,4.207047462463379,1,0
drill_4mm_02,27,6.5398101806640625,1,0
drill_4mm_02,28,5.282819747924805,1,0
drill_4mm_02,29,9.557085037231445,1,0
drill_4mm_02,30,7.232753753662109,1,0
drill_4mm_02,31,4.089926242828369,1,0
drill_4mm_02,32,4.18764591217041,1,0
drill_4mm_02,33,8.550416946411133,1,0
drill_4mm_02,34,4.449739933013916,1,0
drill_4mm_02,35,4.557486534118652,1,0
drill_4mm_02,36,3.1970672607421875,1,0
drill_4mm_02,37,3.345792531967163,1,0
drill_4mm_02,38,4.588287830352783,1,0
drill_4mm_02,39,9.778730392456055,1,0
