drill,hole,hybrid_mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,6,0.7340764,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,7,0.8692759,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,8,1.4399767,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,9,1.9450853,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,10,2.5104308,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,11,2.8647451,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,12,3.441244,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,13,6.6245627,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,14,7.1374707,0.0026423507,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,15,9.339376,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,16,13.1166525,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,17,9.45222,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,18,8.0917425,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,19,7.190697,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,20,8.484053,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,21,13.460115,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,22,9.235318,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,23,6.5291224,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,24,11.9326,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,25,7.293468,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,26,5.387,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,27,5.9223485,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,28,4.694605,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,29,9.419584,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,30,9.251315,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,31,4.7453666,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,32,5.2737446,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,33,11.793438,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,34,5.812928,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,35,4.281858,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,36,4.0216074,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,37,2.3928187,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,38,4.3093634,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,39,6.544488,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,40,13.1995325,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,41,6.112345,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,42,16.892305,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,43,15.71428,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,44,15.561069,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,45,17.541733,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,46,15.562789,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,47,20.29786,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,48,14.432659,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,49,17.82328,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,50,23.46555,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,51,13.4928055,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,52,27.239933,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,53,11.516736,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,54,12.274745,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,55,19.049137,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,56,32.913853,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,57,16.814205,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,58,18.187305,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,59,16.662083,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,60,12.842318,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,61,23.946331,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,62,61.50025,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,63,24.317825,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,64,42.800213,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,65,15.035023,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,66,47.150627,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,67,36.965733,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,68,43.777554,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,69,84.90785,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,70,82.20365,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,71,98.698425,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,72,83.971535,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,73,76.16004,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,74,69.01814,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,75,103.78944,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,76,85.2597,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,77,62.589046,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,78,98.76727,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,79,84.62582,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,80,125.94196,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,81,90.73545,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,82,51.570477,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,83,97.46219,0.0026423507,1.0,0,91
