drill,hole,prob_xgb,label_real,threshold_xgb,prediction,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,21,0.040685806,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,22,0.10629109,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,23,0.015929077,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,24,0.32840008,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,25,0.08431854,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,26,0.027030468,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,27,0.101006046,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,28,0.04053335,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,29,0.16683756,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,30,0.07551151,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,31,0.012991196,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,32,0.10786485,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,33,0.16243026,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,34,0.05600198,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,35,0.09882525,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,36,0.08351434,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,37,0.0055003515,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,38,0.05228534,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,39,0.057970937,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,40,0.14213258,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,41,0.056296144,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,42,0.3907547,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,43,0.37643558,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,44,0.12588179,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,45,0.3750523,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,46,0.08291589,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,47,0.11522094,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,48,0.15283056,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,49,0.17787118,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,50,0.26598805,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,51,0.099510625,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,52,0.22733724,0,0.1,0,73
drill_4mm_05_batch_00_collet_1_30-01-2025,53,0.26629427,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,54,0.3224504,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,55,0.35312217,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,56,0.91654193,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,57,0.11911581,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,58,0.3707156,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,59,0.10154118,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,60,0.66136205,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,61,0.35648122,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,62,0.6912087,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,63,0.37905848,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,64,0.6308052,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,65,0.42824182,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,66,0.7756928,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,67,0.63760763,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,68,0.83844274,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,69,0.7188808,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,70,0.6131696,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,71,0.59217966,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,72,0.78646874,0,0.1,1,73
drill_4mm_05_batch_00_collet_1_30-01-2025,73,0.78646874,0,0.1,1,73
